UE Data/MC(#bf{30-50%, All-Plane}, AbsEta0p0to2p0, R0p6, NoFlow): #Delta#mu_{Data,MC}=-0.003#pm0.005, #Delta#sigma_{Data,MC}=0.002#pm0.095
UE Data/MC(#bf{10-30%, All-Plane}, AbsEta0p0to2p0, R0p6, NoFlow): #Delta#mu_{Data,MC}=0.031#pm0.015, #Delta#sigma_{Data,MC}=-0.002#pm0.221
UE Data/MC(#bf{0-10%, All-Plane}, AbsEta0p0to2p0, R0p6, NoFlow): #Delta#mu_{Data,MC}=0.120#pm1.463, #Delta#sigma_{Data,MC}=1.117#pm0.385
UE Data/MC(#bf{30-50%, All-Plane}, AbsEta0p0to2p0, R0p6, FlowDefaultInRho): #Delta#mu_{Data,MC}=-0.188#pm0.385, #Delta#sigma_{Data,MC}=-0.980#pm2.868
UE Data/MC(#bf{10-30%, All-Plane}, AbsEta0p0to2p0, R0p6, FlowDefaultInRho): #Delta#mu_{Data,MC}=-0.000#pm0.389, #Delta#sigma_{Data,MC}=0.000#pm0.470
UE Data/MC(#bf{0-10%, All-Plane}, AbsEta0p0to2p0, R0p6, FlowDefaultInRho): #Delta#mu_{Data,MC}=0.012#pm0.026, #Delta#sigma_{Data,MC}=-0.014#pm0.430
UE Data/MC(#bf{30-50%, All-Plane}, AbsEta0p0to2p0, R0p8, NoFlow): #Delta#mu_{Data,MC}=0.000#pm0.007, #Delta#sigma_{Data,MC}=0.000#pm0.112
UE Data/MC(#bf{10-30%, All-Plane}, AbsEta0p0to2p0, R0p8, NoFlow): #Delta#mu_{Data,MC}=0.333#pm1.231, #Delta#sigma_{Data,MC}=5.464#pm16.152
UE Data/MC(#bf{0-10%, All-Plane}, AbsEta0p0to2p0, R0p8, NoFlow): #Delta#mu_{Data,MC}=1.555#pm2.463, #Delta#sigma_{Data,MC}=9.083#pm14.355
UE Data/MC(#bf{30-50%, All-Plane}, AbsEta0p0to2p0, R0p8, FlowDefaultInRho): #Delta#mu_{Data,MC}=0.871#pm0.504, #Delta#sigma_{Data,MC}=-0.012#pm4.738
UE Data/MC(#bf{10-30%, All-Plane}, AbsEta0p0to2p0, R0p8, FlowDefaultInRho): #Delta#mu_{Data,MC}=0.014#pm0.018, #Delta#sigma_{Data,MC}=-0.001#pm0.274
UE Data/MC(#bf{0-10%, All-Plane}, AbsEta0p0to2p0, R0p8, FlowDefaultInRho): #Delta#mu_{Data,MC}=0.000#pm0.664, #Delta#sigma_{Data,MC}=-0.000#pm0.573
UE Data/MC(#bf{30-50%, All-Plane}, AbsEta0p0to2p0, R1p0, NoFlow): #Delta#mu_{Data,MC}=0.005#pm0.008, #Delta#sigma_{Data,MC}=-0.000#pm0.125
UE Data/MC(#bf{10-30%, All-Plane}, AbsEta0p0to2p0, R1p0, NoFlow): #Delta#mu_{Data,MC}=0.022#pm0.024, #Delta#sigma_{Data,MC}=0.001#pm0.386
UE Data/MC(#bf{0-10%, All-Plane}, AbsEta0p0to2p0, R1p0, NoFlow): #Delta#mu_{Data,MC}=-0.064#pm0.053, #Delta#sigma_{Data,MC}=-0.005#pm0.810
UE Data/MC(#bf{30-50%, All-Plane}, AbsEta0p0to2p0, R1p0, FlowDefaultInRho): #Delta#mu_{Data,MC}=0.321#pm0.706, #Delta#sigma_{Data,MC}=1.271#pm3.189
UE Data/MC(#bf{10-30%, All-Plane}, AbsEta0p0to2p0, R1p0, FlowDefaultInRho): #Delta#mu_{Data,MC}=0.037#pm0.023, #Delta#sigma_{Data,MC}=-0.006#pm0.349
UE Data/MC(#bf{0-10%, All-Plane}, AbsEta0p0to2p0, R1p0, FlowDefaultInRho): #Delta#mu_{Data,MC}=-0.015#pm0.070, #Delta#sigma_{Data,MC}=-0.042#pm0.827
